,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
IYF,3d RSI IYF LT13 - L IYF,0.3 %,17.9 %,130,9019,50.0 %,9.2 %,0.5 %,196.1 %,-1.0 %,-4.5 %,2,6,0.2,0.5,50.0 %,100.0 %,1.3,,65,1399,0.1 %,2.8 %,5.5,2.8,1,0,1,6,1,0,1,6,1,0,1,6,1,,1,6,1.3,,0.2,3.6,-971,0,-1.0 %,0.0 %,-971,0,-1.0 %,0.0 %,-971,0,-1.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,615,1399,-486,0,50.0 %,100.0 %
IYG,4d RSI IYG LT18 - L IYG,0.6 %,21.2 %,281,10699,46.4 %,11.6 %,1.2 %,184.5 %,-0.3 %,-4.5 %,2,8,0.2,0.7,50.0 %,100.0 %,3.2,,140,1228,0.3 %,2.5 %,5,2.6,1,0,1,8,1,0,1,8,1,0,1,8,1,,1,8,3.2,,0.7,3.3,-254,0,-0.3 %,0.0 %,-254,0,-0.3 %,0.0 %,-254,0,-0.3 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,408,1228,-127,0,50.0 %,100.0 %
IYH,5d RSI IYH LT29 - L IYH,-0.9 %,20.9 %,-455,10558,41.5 %,17.2 %,-2.2 %,122.8 %,-1.8 %,-5.6 %,3,12,0.2,1,66.7 %,100.0 %,0.2,,-152,800,-0.3 %,1.6 %,4.7,2.6,1,0,2,12,1,0,2,10,1,0,1,9,2,,2,12,0.5,,-0.5,6.8,-1777,0,-1.8 %,0.0 %,-1777,0,-1.8 %,0.0 %,-1528,0,-1.5 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,217,800,-889,0,50.0 %,100.0 %
IYJ,7d RSI IYJ LT23 - L IYJ,-0.6 %,11.4 %,-318,5764,100.0 %,5.2 %,-0.6 %,221.7 %,0.0 %,-4.7 %,1,3,0.1,0.2,0.0 %,100.0 %,0,,-318,1850,-0.6 %,3.7 %,7,3.3,1,0,0,3,1,0,0,3,1,0,0,3,0,,0,3,0,,0,2.8,-637,0,-0.6 %,0.0 %,-637,0,-0.6 %,0.0 %,-637,0,-0.6 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1850,-318,0,0.0 %,100.0 %
IYK,3d RSI IYK LT10 - L IYK,1.3 %,3.4 %,657,1717,15.2 %,6.0 %,8.6 %,57.2 %,0.0 %,-1.7 %,2,3,0.2,0.2,100.0 %,100.0 %,,,329,563,0.7 %,1.1 %,2.5,4,0,0,2,3,0,0,2,3,0,0,2,3,,,2,3,,,35.7,2.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,329,563,0,0,100.0 %,100.0 %
IYM,3d RSI IYM LT11 - L IYM,-4.1 %,5.2 %,-2061,2594,100.0 %,5.2 %,-4.1 %,99.8 %,0.0 %,-4.9 %,1,4,0.1,0.3,0.0 %,75.0 %,0,1.8,-2061,643,-4.1 %,1.3 %,12,2.2,1,1,0,3,1,1,0,3,1,1,0,3,0,3,0,3,0,5.3,0,1.2,-4121,-594,-4.1 %,-1.2 %,-4121,-594,-4.1 %,-1.2 %,-4121,-594,-4.1 %,-1.2 %,0.0 %,75.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0,1056,-2061,-594,0.0 %,75.0 %
IYT,4d RSI IYT LT11 - L IYT,-3.1 %,19.2 %,-1536,9672,100.0 %,5.2 %,-3.1 %,372.0 %,0.0 %,-4.8 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-1536,2257,-3.1 %,4.5 %,6,2.2,1,0,0,4,1,0,0,4,1,0,0,4,0,,0,4,0,,0,3.8,-3072,0,-3.1 %,0.0 %,-3072,0,-3.1 %,0.0 %,-3072,0,-3.1 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,2257,-1536,0,0.0 %,100.0 %
IYW,6d RSI IYW LT20 - L IYW,3.6 %,6.3 %,1805,3173,100.0 %,5.6 %,3.6 %,113.3 %,0.0 %,-11.7 %,1,2,0.1,0.2,100.0 %,50.0 %,,2.4,1805,1720,3.6 %,3.4 %,1,6,0,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,,2.4,0,0.6,0,-2469,0.0 %,-4.9 %,0,-2469,0.0 %,-4.9 %,0,-2469,0.0 %,-4.9 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,1805,5908,0,-2469,100.0 %,50.0 %
JDST,4d RSI JDST LT11 - L JDST,-11.7 %,17.8 %,-5833,8963,100.0 %,5.6 %,-11.7 %,320.1 %,0.0 %,-8.7 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-5833,2124,-11.7 %,4.2 %,7,2.5,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,2.2,-11665,0,-11.7 %,0.0 %,-11665,0,-11.7 %,0.0 %,-11665,0,-11.7 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,2124,-5833,0,0.0 %,100.0 %
JETS,4d RSI JETS LT14 - L JETS,0.3 %,23.8 %,149,11972,75.0 %,8.4 %,0.4 %,285.0 %,0.0 %,-5.2 %,2,6,0.2,0.5,50.0 %,100.0 %,1.3,,74,1849,0.1 %,3.7 %,2,2.5,1,0,1,6,1,0,1,6,0,0,1,4,1,,1,6,1.3,,0.2,2.2,-1189,0,-1.2 %,0.0 %,-1189,0,-1.2 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,743,1849,-594,0,100.0 %,100.0 %
JHMD,20d RSI JHMD LT43 - L JHMD,1.0 %,12.0 %,482,6046,85.7 %,6.0 %,1.1 %,201.5 %,-0.1 %,-3.8 %,3,5,0.2,0.4,66.7 %,100.0 %,4.6,,161,1152,0.3 %,2.3 %,3,2,1,0,2,5,1,0,2,4,0,0,1,3,2,,2,5,9.1,,1.5,3.2,-119,0,-0.1 %,0.0 %,-119,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,270,1152,-59,0,100.0 %,100.0 %
JIVE,19d RSI JIVE LT46 - L JIVE,-0.7 %,8.9 %,-369,4499,93.3 %,6.0 %,-0.8 %,150.0 %,-1.1 %,-3.8 %,3,5,0.2,0.4,33.3 %,100.0 %,0.7,,-123,865,-0.2 %,1.7 %,3.7,2,2,0,1,5,2,0,1,4,1,0,0,3,0.5,,1,5,0.4,,-0.7,4.2,-1140,0,-1.1 %,0.0 %,-1140,0,-1.1 %,0.0 %,-738,0,-0.7 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,201,865,-285,0,0.0 %,100.0 %
JNUG,21d RSI JNUG LT44 - L JNUG,-16.2 %,48.8 %,-8096,24584,100.0 %,6.4 %,-16.2 %,768.3 %,0.0 %,-7.2 %,2,4,0.2,0.3,50.0 %,100.0 %,0.3,,-4048,5253,-8.1 %,10.5 %,3.5,3,1,0,1,4,1,0,0,4,1,0,0,4,1,,1,4,0.3,,-0.8,5.6,-22499,0,-22.5 %,0.0 %,-16192,0,-16.2 %,0.0 %,-16192,0,-16.2 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,0.0 %,100.0 %,3154,5253,-11250,0,0.0 %,100.0 %
JPIB,3d RSI JPIB LT10 - L JPIB,0.7 %,1.3 %,363,673,81.8 %,5.6 %,0.9 %,24.0 %,0.0 %,-0.3 %,3,4,0.2,0.3,100.0 %,100.0 %,,,121,166,0.2 %,0.3 %,2,2.5,0,0,3,4,0,0,3,4,0,0,1,4,,,3,4,,,3.8,5.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,121,166,0,0,100.0 %,100.0 %
JPST,3d RSI JPST LT62 - L JPST,0.1 %,1.9 %,69,930,40.4 %,29.6 %,0.3 %,6.3 %,-0.0 %,-0.2 %,5,18,0.4,1.5,60.0 %,100.0 %,5.3,,14,51,0.0 %,0.1 %,3.6,3.1,2,0,2,18,1,0,2,17,0,0,2,11,1.5,,3,18,8,,1.5,12.8,-20,0,-0.0 %,0.0 %,-20,0,-0.0 %,0.0 %,0,0,0.0 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,75.0 %,100.0 %,26,51,-5,0,100.0 %,100.0 %
KBE,4d RSI KBE LT10 - L KBE,1.3 %,14.7 %,632,7383,100.0 %,5.2 %,1.3 %,284.0 %,0.0 %,-3.3 %,1,4,0.1,0.3,100.0 %,75.0 %,,11.1,632,1759,1.3 %,3.5 %,7,2.2,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,33.4,0,2.4,0,-217,0.0 %,-0.4 %,0,-217,0.0 %,-0.4 %,0,-217,0.0 %,-0.4 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,632,2418,0,-217,100.0 %,75.0 %
KBWB,4d RSI KBWB LT12 - L KBWB,2.3 %,16.3 %,1173,8205,100.0 %,5.6 %,2.3 %,293.0 %,0.0 %,-4.4 %,1,4,0.1,0.3,100.0 %,100.0 %,,,1173,1943,2.3 %,3.9 %,7,2.5,0,0,1,4,0,0,1,4,0,0,1,4,,,1,4,,,0,2.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1173,1943,0,0,100.0 %,100.0 %
KBWD,20d RSI KBWD LT42 - L KBWD,-0.9 %,9.7 %,-433,4887,100.0 %,14.0 %,-0.9 %,69.8 %,-2.2 %,-14.9 %,4,11,0.3,0.9,50.0 %,90.9 %,0.6,0.3,-108,437,-0.2 %,0.9 %,4.8,2.2,2,1,1,7,2,1,1,6,1,0,1,5,1,10,2,10,0.6,2.6,-0.5,1.2,-2185,-3079,-2.2 %,-6.2 %,-2185,-3079,-2.2 %,-6.2 %,-1784,0,-1.8 %,0.0 %,50.0 %,90.9 %,50.0 %,90.9 %,50.0 %,90.0 %,330,788,-546,-3079,50.0 %,100.0 %
KIE,4d RSI KIE LT30 - L KIE,1.6 %,37.4 %,806,18861,68.0 %,22.8 %,2.4 %,165.4 %,-2.3 %,-5.4 %,5,17,0.4,1.4,80.0 %,100.0 %,0.4,,161,945,0.3 %,1.9 %,5.4,2.3,1,0,4,17,1,0,3,16,1,0,2,12,4,,4,17,1.7,,0.5,9.5,-2424,0,-2.4 %,0.0 %,-2424,0,-2.4 %,0.0 %,-2424,0,-2.4 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,100.0 %,504,945,-1212,0,66.7 %,100.0 %
KOLD,14d RSI KOLD LT31 - L KOLD,48.5 %,47.7 %,24264,24022,100.0 %,6.0 %,48.5 %,800.7 %,0.0 %,-12.6 %,1,4,0.1,0.3,100.0 %,100.0 %,,,24264,5183,48.5 %,10.4 %,1,2.8,0,0,1,4,0,0,1,4,0,0,1,4,,,1,4,,,0,3.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,24264,5183,0,0,100.0 %,100.0 %
KRE,4d RSI KRE LT10 - L KRE,1.1 %,14.5 %,563,7320,100.0 %,6.0 %,1.1 %,244.0 %,0.0 %,-4.5 %,1,4,0.1,0.3,100.0 %,75.0 %,,7.2,563,1744,1.1 %,3.5 %,7,2.8,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,21.6,0,2.4,0,-339,0.0 %,-0.7 %,0,-339,0.0 %,-0.7 %,0,-339,0.0 %,-0.7 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,563,2439,0,-339,100.0 %,75.0 %
KWEB,15d RSI KWEB LT33 - L KWEB,-7.1 %,16.2 %,-3546,8169,69.6 %,6.0 %,-10.2 %,272.3 %,-1.1 %,-5.2 %,3,4,0.2,0.3,33.3 %,100.0 %,0.3,,-1182,1921,-2.4 %,3.8 %,4.3,2.8,1,0,1,4,2,0,0,4,1,0,0,4,0.5,,1,4,0.1,,-1.2,4.4,-7094,0,-7.1 %,0.0 %,-7092,0,-7.1 %,0.0 %,-7092,0,-7.1 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,0.0 %,100.0 %,527,1921,-2037,0,0.0 %,100.0 %
LEMB,3d RSI LEMB LT13 - L LEMB,2.4 %,2.5 %,1185,1283,63.6 %,8.0 %,3.7 %,32.1 %,0.0 %,-0.6 %,3,6,0.2,0.5,100.0 %,100.0 %,,,395,210,0.8 %,0.4 %,1.3,2.3,0,0,3,6,0,0,3,6,0,0,1,6,,,3,6,,,6.6,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,395,210,0,0,100.0 %,100.0 %
LMBS,19d RSI LMBS LT56 - L LMBS,-0.1 %,1.8 %,-48,901,31.7 %,22.4 %,-0.3 %,8.0 %,-0.6 %,-1.0 %,4,12,0.3,1,50.0 %,75.0 %,0.8,2.1,-12,74,-0.0 %,0.1 %,3.8,3.7,2,2,2,6,2,2,2,5,1,0,1,5,1,3,2,9,0.8,6.2,-0.1,3,-620,-138,-0.6 %,-0.3 %,-620,-138,-0.6 %,-0.3 %,-440,0,-0.4 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,72.7 %,131,117,-155,-57,50.0 %,100.0 %
LQD,5d RSI LQD LT19 - L LQD,1.3 %,2.7 %,636,1348,75.0 %,5.2 %,1.7 %,51.8 %,0.0 %,-1.5 %,2,4,0.2,0.3,100.0 %,75.0 %,,6.8,318,332,0.6 %,0.7 %,2,2.2,0,1,2,2,0,0,2,3,0,0,1,3,,3,2,3,,20.3,24.5,2.1,0,-69,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,100.0 %,318,466,0,-69,100.0 %,100.0 %
LRGF,13d RSI LRGF LT32 - L LRGF,1.7 %,4.0 %,832,1993,100.0 %,5.2 %,1.7 %,76.7 %,0.0 %,-10.0 %,1,3,0.1,0.2,100.0 %,100.0 %,,,832,652,1.7 %,1.3 %,3,3.3,0,0,1,3,0,0,1,3,0,0,1,3,,,1,3,,,0,3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,832,652,0,0,100.0 %,100.0 %
LVHI,20d RSI LVHI LT53 - L LVHI,2.3 %,5.1 %,1150,2578,70.6 %,9.6 %,3.3 %,53.7 %,0.0 %,-10.1 %,4,9,0.3,0.8,100.0 %,88.9 %,,0.3,288,287,0.6 %,0.6 %,2,1.7,0,1,4,7,0,1,3,4,0,0,1,4,,8,4,8,,2.3,3.2,0.9,0,-2015,0.0 %,-4.0 %,0,-2015,0.0 %,-4.0 %,0,0,0.0 %,0.0 %,100.0 %,88.9 %,100.0 %,88.9 %,100.0 %,83.3 %,288,574,0,-2015,100.0 %,100.0 %
MBB,6d RSI MBB LT32 - L MBB,1.1 %,5.6 %,539,2814,73.3 %,11.2 %,1.5 %,50.2 %,0.0 %,-1.2 %,3,8,0.2,0.7,100.0 %,100.0 %,,,180,341,0.4 %,0.7 %,2.7,2.5,0,0,3,8,0,0,3,8,0,0,1,6,,,3,8,,,3.3,5.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,180,341,0,0,100.0 %,100.0 %
MCHI,11d RSI MCHI LT33 - L MCHI,-1.6 %,9.1 %,-815,4602,55.0 %,7.6 %,-3.0 %,121.1 %,0.0 %,-10.6 %,2,6,0.2,0.5,50.0 %,83.3 %,0.6,0.7,-407,749,-0.8 %,1.5 %,4.5,2.2,1,1,1,4,1,1,1,3,1,1,0,3,1,5,1,5,0.6,3.3,-0.3,1.5,-4238,-1942,-4.2 %,-3.9 %,-4238,-174,-4.2 %,-0.3 %,-1629,-174,-1.6 %,-0.3 %,50.0 %,83.3 %,50.0 %,83.3 %,50.0 %,80.0 %,1304,1287,-2119,-1942,0.0 %,80.0 %
MGC,6d RSI MGC LT23 - L MGC,3.5 %,8.5 %,1766,4307,35.7 %,8.8 %,9.9 %,97.9 %,0.0 %,-10.1 %,2,4,0.2,0.3,100.0 %,75.0 %,,1.1,883,1080,1.8 %,2.2 %,1.5,4.5,0,1,2,3,0,1,2,3,0,1,2,3,,3,2,3,,3.2,23.4,1,0,-1946,0.0 %,-3.9 %,0,-1946,0.0 %,-3.9 %,0,-1946,0.0 %,-3.9 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,883,2088,0,-1946,100.0 %,75.0 %
MGK,4d RSI MGK LT10 - L MGK,4.0 %,4.8 %,1994,2446,35.7 %,6.4 %,11.2 %,76.4 %,0.0 %,-11.9 %,2,2,0.2,0.2,100.0 %,50.0 %,,2,997,1349,2.0 %,2.7 %,1.5,7,0,1,2,1,0,1,2,1,0,1,2,1,,1,2,1,,2,18.2,0.5,0,-2580,0.0 %,-5.2 %,0,-2580,0.0 %,-5.2 %,0,-2580,0.0 %,-5.2 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,997,5279,0,-2580,100.0 %,50.0 %
MLN,8d RSI MLN LT22 - L MLN,0.3 %,3.0 %,173,1538,100.0 %,5.2 %,0.3 %,59.2 %,0.0 %,-0.5 %,1,4,0.1,0.3,100.0 %,100.0 %,,,173,378,0.3 %,0.8 %,6,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,2.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,173,378,0,0,100.0 %,100.0 %
MLPA,3d RSI MLPA LT20 - L MLPA,1.5 %,9.4 %,769,4734,100.0 %,20.8 %,1.5 %,45.5 %,0.0 %,-8.3 %,1,10,0.1,0.8,100.0 %,80.0 %,,1.7,769,453,1.5 %,0.9 %,5,4.2,0,1,1,6,0,1,1,6,0,1,1,4,,4,1,8,,6.8,0,2.9,0,-435,0.0 %,-0.9 %,0,-435,0.0 %,-0.9 %,0,-435,0.0 %,-0.9 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,769,664,0,-388,100.0 %,75.0 %
MLPX,17d RSI MLPX LT47 - L MLPX,1.3 %,26.7 %,639,13443,100.0 %,30.4 %,1.3 %,88.4 %,0.0 %,-5.8 %,1,20,0.1,1.7,100.0 %,85.0 %,,1.4,639,599,1.3 %,1.2 %,2,2.8,0,1,1,11,0,2,1,12,0,1,1,7,,5.7,1,17,,7.9,0,4,0,-1109,0.0 %,-2.2 %,0,-624,0.0 %,-1.2 %,0,-624,0.0 %,-1.2 %,100.0 %,85.0 %,100.0 %,85.0 %,100.0 %,87.5 %,639,807,0,-579,100.0 %,90.0 %
MMIT,3d RSI MMIT LT11 - L MMIT,-0.5 %,0.1 %,-237,45,78.6 %,6.4 %,-0.6 %,1.4 %,-0.4 %,-1.2 %,2,2,0.2,0.2,0.0 %,50.0 %,0,1.2,-118,23,-0.2 %,0.1 %,4.5,7,2,1,0,1,2,1,0,1,1,1,0,1,0,1,0,1,0,1.2,-2.5,0.1,-474,-194,-0.5 %,-0.4 %,-474,-194,-0.5 %,-0.4 %,-474,-194,-0.5 %,-0.4 %,0.0 %,50.0 %,0.0 %,50.0 %,0.0 %,50.0 %,0,239,-118,-194,0.0 %,50.0 %
MOAT,4d RSI MOAT LT26 - L MOAT,2.0 %,10.8 %,1005,5432,100.0 %,20.0 %,2.0 %,54.3 %,0.0 %,-9.6 %,2,14,0.2,1.2,100.0 %,85.7 %,,1,502,369,1.0 %,0.7 %,1.5,2.6,0,1,2,7,0,1,1,7,0,1,1,7,,6,2,12,,5.9,1.6,2.8,0,-1004,0.0 %,-2.0 %,0,-1004,0.0 %,-2.0 %,0,-451,0.0 %,-0.9 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,502,519,0,-526,100.0 %,88.9 %
MOO,3d RSI MOO LT10 - L MOO,1.1 %,12.0 %,532,6060,100.0 %,10.8 %,1.1 %,112.2 %,0.0 %,-4.4 %,1,8,0.1,0.7,100.0 %,87.5 %,,114.1,532,717,1.1 %,1.4 %,2,2.4,0,1,1,6,0,1,1,6,0,0,1,7,,7,1,7,,798.7,0,4.2,0,-7,0.0 %,-0.0 %,0,-7,0.0 %,-0.0 %,0,0,0.0 %,0.0 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,532,820,0,-7,100.0 %,100.0 %
MORT,20d RSI MORT LT39 - L MORT,-0.1 %,1.4 %,-60,682,92.3 %,6.0 %,-0.1 %,22.7 %,0.0 %,-11.4 %,2,4,0.2,0.3,50.0 %,75.0 %,0.9,0.4,-30,194,-0.1 %,0.4 %,5,2.8,1,1,1,2,1,1,1,1,1,1,0,1,1,3,1,3,0.9,1.3,-0.1,0.2,-1748,-2362,-1.7 %,-4.7 %,-1748,-2098,-1.7 %,-4.2 %,-120,-189,-0.1 %,-0.4 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,66.7 %,814,1045,-874,-2362,0.0 %,50.0 %
MTUM,3d RSI MTUM LT13 - L MTUM,2.6 %,20.3 %,1303,10240,100.0 %,14.0 %,2.6 %,146.3 %,0.0 %,-5.3 %,1,8,0.1,0.7,100.0 %,87.5 %,,3.6,1303,1194,2.6 %,2.4 %,2,3.4,0,1,1,7,0,1,1,7,0,1,1,6,,7,1,7,,25.5,0,2.1,0,-391,0.0 %,-0.8 %,0,-391,0.0 %,-0.8 %,0,-391,0.0 %,-0.8 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,1303,1421,0,-391,100.0 %,85.7 %
MUB,6d RSI MUB LT17 - L MUB,0.4 %,2.0 %,206,1009,76.9 %,5.2 %,0.5 %,38.8 %,0.0 %,-2.4 %,2,4,0.2,0.3,100.0 %,100.0 %,,,103,249,0.2 %,0.5 %,4,2.2,0,0,2,4,0,0,2,4,0,0,1,4,,,2,4,,,1.7,4.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,103,249,0,0,100.0 %,100.0 %
MUNI,5d RSI MUNI LT17 - L MUNI,-0.4 %,1.1 %,-218,530,81.2 %,6.8 %,-0.5 %,15.6 %,-0.1 %,-0.3 %,2,4,0.2,0.3,0.0 %,100.0 %,0,,-109,131,-0.2 %,0.3 %,5.5,3.2,2,0,0,4,2,0,0,4,1,0,0,3,0,,0,4,0,,-2,5.8,-437,0,-0.4 %,0.0 %,-437,0,-0.4 %,0.0 %,-437,0,-0.4 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,131,-109,0,0.0 %,100.0 %
NAIL,6d RSI NAIL LT19 - L NAIL,-19.2 %,23.8 %,-9608,12015,92.3 %,5.2 %,-20.8 %,462.1 %,-0.8 %,-5.5 %,2,3,0.2,0.2,0.0 %,100.0 %,0,,-4804,3757,-9.6 %,7.5 %,5,3.3,2,0,0,3,2,0,0,3,1,0,0,2,0,,0,3,0,,-1.5,2.5,-19215,0,-19.2 %,0.0 %,-19215,0,-19.2 %,0.0 %,-19215,0,-19.2 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,3757,-4804,0,0.0 %,100.0 %
NEAR,5d RSI NEAR LT38 - L NEAR,-0.3 %,1.4 %,-167,698,42.0 %,7.2 %,-0.8 %,19.4 %,-0.4 %,-0.1 %,3,7,0.2,0.6,33.3 %,100.0 %,0.5,,-56,98,-0.1 %,0.2 %,6,1.6,2,0,1,7,2,0,1,7,1,0,1,7,0.5,,1,7,0.2,,-1.2,5.3,-432,0,-0.4 %,0.0 %,-432,0,-0.4 %,0.0 %,-432,0,-0.4 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,49,98,-108,0,50.0 %,100.0 %
NLR,3d RSI NLR LT11 - L NLR,6.7 %,18.2 %,3368,9157,100.0 %,8.4 %,6.7 %,218.0 %,0.0 %,-6.0 %,1,7,0.1,0.6,100.0 %,85.7 %,,1.7,3368,1227,6.7 %,2.5 %,3,2,0,1,1,6,0,1,1,6,0,1,1,3,,6,1,6,,9.9,0,2.3,0,-961,0.0 %,-1.9 %,0,-961,0.0 %,-1.9 %,0,-961,0.0 %,-1.9 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,3368,1592,0,-961,100.0 %,75.0 %
NUGT,3d RSI NUGT LT25 - L NUGT,1.1 %,116.1 %,529,58536,56.4 %,18.4 %,1.9 %,636.3 %,-23.0 %,-12.6 %,4,15,0.3,1.3,50.0 %,100.0 %,1,,132,2674,0.3 %,5.3 %,4.5,2.1,2,0,2,15,2,0,2,15,1,0,1,10,1,,2,15,1,,0,5.1,-30145,0,-30.1 %,0.0 %,-30145,0,-30.1 %,0.0 %,-30145,0,-30.1 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,7801,2674,-7536,0,50.0 %,100.0 %
